City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Total
Mosby,255,1,0,0,0,1,10,0,10,0,0,22
Moscow Mills,"2,749",18,0,1,0,17,67,9,57,1,2,172
Mound City,"1,045",2,0,0,0,2,30,11,17,2,0,64
Mountain View,"2,584",20,0,1,2,17,120,38,80,2,0,280
Mount Vernon,"4,605",9,0,1,0,8,223,24,189,10,1,465
Napoleon,192,0,0,0,0,0,1,1,0,0,0,2
Naylor,586,0,0,0,0,0,2,0,1,1,0,4
Neosho,"11,245",22,0,3,3,16,551,64,468,19,0,"1,146"
Nevada,"8,287",66,0,4,4,58,499,108,370,21,2,"1,132"
New Bloomfield,740,1,0,1,0,0,5,2,3,0,0,12
Newburg,461,0,0,0,0,0,15,5,10,0,1,31
New Florence,737,3,0,0,0,3,14,3,11,0,0,34
New Franklin,"1,093",0,0,0,0,0,8,0,7,1,0,16
New Haven,"2,053",9,0,0,0,9,51,9,40,2,1,121
New London,986,1,0,0,0,1,25,6,19,0,0,52
New Madrid,"2,945",0,0,0,0,0,21,2,19,0,0,42
New Melle,302,1,0,0,0,1,4,2,2,0,0,10
Niangua,496,1,0,0,0,1,6,6,0,0,0,14
Nixa,"20,220",33,0,5,7,21,323,49,270,4,0,712
Noel,"1,619",11,0,2,0,9,39,9,25,5,0,100
Norborne,722,2,0,0,0,2,0,0,0,0,0,4
Normandy,"4,834",38,0,1,8,29,173,68,92,13,0,422
North Kansas City,"6,116",31,0,2,14,15,343,48,266,29,0,748
Northmoor,415,1,0,0,0,1,11,1,5,5,0,24
Northwoods,"4,244",30,0,1,9,20,193,84,86,23,1,447
Norwood,558,0,0,0,0,0,1,0,0,1,0,2
Oak Grove,"7,154",9,0,2,0,7,237,37,179,21,2,494
Oakland,"1,544",0,0,0,0,0,20,4,16,0,2,42
Oakview Village,414,1,0,0,0,1,4,0,4,0,0,10
Odessa,"4,632",4,0,0,3,1,113,19,85,9,1,235
O'Fallon,"81,851",72,0,2,9,61,"1,273",135,"1,101",37,0,"2,690"
Olivette,"7,414",14,0,0,8,6,157,30,114,13,1,343
Oregon,852,2,0,0,0,2,9,3,4,2,0,22
Oronogo,"2,963",4,0,0,0,4,40,12,26,2,1,89
Orrick,805,2,0,0,0,2,19,12,5,2,0,42
Osage Beach,"4,787",15,1,1,0,13,336,39,286,11,1,703
Overland,"15,400",42,0,0,13,29,664,123,514,27,1,"1,413"
Owensville,"2,527",3,0,0,0,3,53,1,51,1,0,112
Ozark,"19,449",23,0,2,4,17,544,79,447,18,1,"1,135"
Pacific,"7,332",21,0,2,1,18,167,17,144,6,0,376
Pagedale,"3,360",30,2,0,9,19,159,44,99,16,1,379
Palmyra,"3,428",4,0,0,0,4,61,7,54,0,,130
Parkville,"5,584",10,1,0,5,4,159,18,137,4,0,338
Parma,744,7,0,0,0,7,20,3,17,0,3,57
Pasadena Park,452,0,0,0,0,0,7,3,2,2,0,14
Peculiar,"4,977",8,0,1,1,6,91,28,60,3,0,198
Perryville,"8,185",39,0,2,4,33,250,42,199,9,0,578
Pevely,"6,112",10,0,3,2,5,131,22,103,6,0,282
Piedmont,"1,840",3,0,0,0,3,72,12,59,1,1,151
Pierce City,"1,459",0,0,0,0,0,33,4,27,2,0,66
Pilot Grove,740,3,0,0,0,3,32,5,25,2,1,71
Pine Lawn,"3,938",56,2,5,13,36,177,76,69,32,0,466
Platte City,"5,034",6,0,1,0,5,133,13,116,4,0,278
Platte Woods,467,1,0,0,0,1,7,2,3,2,0,16
Plattsburg,"2,390",9,0,1,0,8,25,8,17,0,0,68
Pleasant Hill,"7,409",0,0,0,0,0,136,23,105,8,1,273
Pleasant Hope,605,0,0,0,0,0,6,2,4,0,0,12
Pleasant Valley,"3,721",6,0,2,0,4,41,7,29,5,0,94
Polo,591,0,0,0,0,0,6,1,4,1,0,12
Poplar Bluff,"16,938",108,0,1,28,79,"1,415",257,"1,106",52,8,"3,054"
Potosi,"2,688",6,0,2,0,4,116,16,100,0,0,244
Purdy,"1,135",6,0,2,0,4,22,8,14,0,0,56
Puxico,"1,121",7,0,0,0,7,9,4,5,0,0,32
Queen City,611,0,0,0,0,0,0,0,0,0,0,0
Qulin,482,1,0,0,0,1,16,4,9,3,0,34
Randolph,54,1,0,0,0,1,7,0,6,1,0,16
Raymore,"19,420",16,0,3,4,9,287,32,241,14,2,608
Raytown,"28,616",117,5,4,61,47,"1,088",301,679,108,5,"2,415"
Reeds Spring,810,0,0,0,0,0,4,1,3,0,0,8
Republic,"14,880",84,1,1,5,77,573,79,475,19,1,"1,315"
Rich Hill,"1,460",7,0,0,0,7,28,14,13,1,0,70
Richland,"1,844",7,0,0,0,7,57,14,42,1,1,129
Richmond,"5,787",17,0,0,0,17,214,33,176,5,4,466
Richmond Heights,"8,985",20,0,1,10,9,760,23,709,28,0,"1,560"
Riverside,"3,075",10,2,4,1,3,217,19,176,22,0,454
Riverview,"2,874",37,0,2,11,24,210,103,64,43,1,495
Rockaway Beach,586,0,0,0,0,0,13,2,11,0,0,26
Rock Hill,"4,530",8,0,0,3,5,70,15,51,4,0,156
Rock Port,"1,275",1,0,0,0,1,1,1,0,0,0,4
Rogersville,"3,261",8,1,0,0,7,122,17,100,5,0,260
Rolla,"18,575",97,0,8,22,67,874,145,699,30,3,"1,945"
Salem,"4,898",8,1,0,0,7,198,18,174,6,0,412
Salisbury,"1,513",1,0,0,0,1,23,8,14,1,0,48
Sarcoxie,"1,382",14,0,0,1,13,44,9,32,3,2,118
Savannah,"5,104",0,0,0,0,0,56,11,43,2,0,112
Scott City,"4,525",5,0,0,0,5,79,22,54,3,2,170
Sedalia,"21,091",152,2,3,20,127,"1,301",280,968,53,7,"2,913"
Seligman,999,1,0,0,0,1,16,3,13,0,0,34
Seneca,"2,248",2,0,0,2,0,79,21,55,3,1,163
Seymour,"2,092",5,0,0,0,5,46,12,34,0,0,102
Shelbina,"1,743",4,0,0,0,4,31,18,13,0,0,70
Shrewsbury,"6,150",2,0,0,0,2,112,17,88,7,1,229
Sikeston,"16,953",269,1,7,29,232,948,228,692,28,7,"2,441"
Slater,"1,898",2,0,0,0,2,54,1,52,1,0,112
Smithville,"8,800",8,0,1,0,7,103,14,86,3,0,222
Southwest City,939,6,1,0,0,5,12,2,8,2,0,36
Sparta,"1,246",1,0,0,0,1,18,3,15,0,0,38
Springfield,"157,110","1,328",11,120,310,887,"15,216","2,188","12,024","1,004",59,"33,147"
St. Ann,"12,475",60,0,0,6,54,384,65,296,23,0,888
St. Charles,"65,729",126,2,8,35,81,"1,891",323,"1,517",51,16,"4,050"
St. Clair,"4,445",34,0,1,1,32,293,48,227,18,1,655
Steele,"2,017",21,2,0,1,18,95,40,53,2,0,232
Steelville,"1,486",11,0,1,0,10,70,13,53,4,0,162
Stewartsville,734,0,0,0,0,0,1,0,1,0,0,2
St. James,"3,994",22,0,0,3,19,195,38,147,10,1,435
St. John,"6,283",29,0,1,2,26,226,41,175,10,0,510
St. Joseph,"75,922",305,5,20,70,210,"3,605",870,"2,547",188,16,"7,836"
St. Louis,"355,151","6,205",144,188,"2,125","3,748","27,324","6,705","16,356","4,263",250,"67,308"
St. Marys,374,2,0,0,0,2,5,1,4,0,0,14
Stover,"1,023",5,0,1,0,4,24,6,18,0,0,58
St. Peters,"56,518",104,0,4,9,91,"1,499",120,"1,349",30,7,"3,213"
Strafford,"2,232",7,0,0,1,6,126,14,105,7,7,273
Strasburg,137,0,0,0,0,0,0,0,0,0,0,0
St. Robert,"3,702",32,1,4,2,25,398,68,324,6,0,860
Sugar Creek,"3,606",20,0,1,4,15,186,47,121,18,0,412
Sullivan,"6,757",9,0,0,3,6,401,53,325,23,0,820
Summersville,548,0,0,0,0,0,21,14,7,0,1,43
Sunset Hills,"8,131",16,1,0,2,13,162,23,132,7,1,357
Sweet Springs,"1,518",1,0,0,0,1,15,1,13,1,0,32
Tarkio,"1,787",8,0,0,0,8,24,12,12,0,0,64
Thayer,"2,143",2,0,0,0,2,20,1,18,1,0,44
Theodosia,251,1,0,0,0,1,6,2,4,0,0,14
Tipton,"3,278",1,0,0,0,1,27,3,24,0,0,56
Town and Country,"10,626",5,0,0,3,2,108,10,93,5,0,226
Tracy,218,0,0,0,0,0,14,3,10,1,0,28
Trenton,"5,945",12,0,0,1,11,187,40,139,8,0,398
Trimble,469,0,0,0,0,0,0,0,0,0,0,0
Troy,"13,056",3,0,0,0,3,353,43,298,12,1,713
Truesdale,700,3,0,0,0,3,8,5,3,0,0,22
Union,"9,904",20,0,1,1,18,480,51,417,12,2,"1,002"
Unionville,"1,788",4,0,0,0,4,16,8,8,0,0,40
Uplands Park,432,1,0,0,0,1,7,3,2,2,0,16
Urbana,427,0,0,0,0,0,0,0,0,0,0,0
Van Buren,801,0,0,0,0,0,8,5,3,0,0,16
Vandalia,"4,344",4,0,0,0,4,85,14,65,6,0,178
Velda City,"1,474",23,0,1,2,20,37,23,8,6,0,120
Verona,718,0,0,0,0,0,11,3,7,1,0,22
Versailles,"2,654",3,0,0,0,3,93,13,76,4,0,192
Viburnum,777,1,0,0,0,1,10,8,2,0,1,23
Vienna,625,0,0,0,0,0,26,9,16,1,0,52
Vinita Park,"1,760",15,0,0,6,9,73,29,38,6,0,176
Walnut Grove,666,3,0,0,0,3,3,1,1,1,0,12
Wardell,385,5,0,0,0,5,2,0,2,0,0,14
Warrensburg,"19,376",23,0,1,8,14,627,115,501,11,7,"1,307"
Warrenton,"7,714",24,0,1,1,22,387,50,326,11,5,827
Warsaw,"2,226",6,0,0,0,6,126,35,83,8,0,264
Warson Woods,"1,817",0,0,0,0,0,20,3,17,0,0,40
Washburn,475,0,0,0,0,0,0,0,0,0,0,0
Washington,"14,366",21,0,1,4,16,433,47,371,15,2,910
Waverly,771,0,0,0,0,0,13,3,10,0,0,26
Waynesville,"4,337",26,0,4,3,19,145,37,104,4,1,343
Webb City,"11,795",1,0,1,0,0,443,55,358,30,0,888
Webster Groves,"22,106",21,0,2,6,13,297,74,207,16,0,636
Wellington,744,0,0,0,0,0,0,0,0,0,0,0
Wellsville,"1,288",2,0,0,0,2,11,4,7,0,0,26
Wentzville,"27,351",40,0,8,6,26,516,64,444,8,1,"1,113"
Weston,"1,720",6,0,0,0,6,22,8,13,1,0,56
West Plains,"12,034",50,0,2,5,43,880,176,676,28,0,"1,860"
Wheaton,744,0,0,0,0,0,7,2,4,1,1,15
Willard,"3,368",7,0,2,0,5,91,14,75,2,0,196
Willow Springs,"2,147",9,0,0,0,9,89,21,65,3,0,196
Winfield,"1,180",3,0,0,1,2,14,6,5,3,0,34
